&#65279;"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MSR8HZYX","book","2017","Gagne, Tammy; Betke, Margrit","Women in computer science","","978-1-68078-264-6","","","131708","","2017","2020-09-16 14:35:54","2020-09-23 20:31:56","2020-09-16 14:35:52","","48","","","","","","Women in STEM","","","","Core Library, an imprint of Abdo Publishing","Mankato, Minnesota","English","","","","","WorldCat Discovery Service","","Section: 48 pages : illustrations (chiefly color) ; 24 cm","","","","Computer science Vocational guidance.; Computer scientists.; Juvenile works.; Literature.; Vocational guidance.; Vocational Guidance.; Women in computer science Juvenile literature.; Women in computer science.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FE5U6CAT","book","2016","Calkhoven, Laurie.; Petersen, Alyssa","Women who launched the computer age","","978-1-4814-7047-6 978-1-4814-7046-9 978-1-5182-1873-6 978-1-4814-7048-3","","","","","2016","2020-09-16 14:35:54","2020-09-23 20:34:10","","","48","","","","","","Ready-to-read. Level three","","","","Simon Spotlight","New York","English","","","","","WorldCat Discovery Service","","Section: 48 pages : color illustrations ; 24 cm","","","","Biographies.; Computer industry United States History Juvenile literature.; Computer industry.; Computer programmers United States Biography Juvenile literature.; Computer programmers.; Computer scientists United States Biography Juvenile literature.; Computer scientists.; ENIAC (Computer); ENIAC (Computer) History Juvenile literature.; History.; JUVENILE NONFICTION Readers Chapter Books.; Juvenile works.; Readers (Primary); United States.; Women Biography.; Women computer programmers United States Biography Juvenile literature.; Women computer programmers.; Women computer scientists United States Biography Juvenile literature.; Women computer scientists.","","","","","","","","","","","","","","","","","","","","","Simon Spotlight edition.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UFB8HYM4","book","2018","Green, Jen","Women in science","","978-1-4654-6860-4 978-1-4654-6859-8 978-0-7804-0038-2 978-1-5182-5354-6","","","http://www.perma-bound.com/ws/image/cover/000152980/m","","2018","2020-09-16 14:35:54","2020-09-23 20:31:16","2020-09-16 14:35:53","","64","","","","","","DK. Level 3, Beginning to read alone","","","","DK Publishing","New York, New York","English","","","","","WorldCat Discovery Service","","Section: 64 pages : illustrations (some color) ; 23 cm.","","","","Biographies.; Chapter-headings.; JUVENILE NONFICTION Biography & Autobiography Science & Technology.; JUVENILE NONFICTION Biography & Autobiography Women.; JUVENILE NONFICTION Reader Intermediate.; Juvenile works.; Readers (Primary); Readers (Publications); Women in science Biography.; Women in science Juvenile literature.; Women in science.","","","","","","","","","","","","","","","","","","","","","First American edition.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NJISIBLB","book","2000","Kahn, Jetty.","Women in computer science careers","","978-0-7368-0316-8","","","","","2000","2020-09-16 14:35:54","2020-09-23 20:30:46","","","48","","","","","","Capstone short biographies","","","","Capstone Books","Mankato, Minn.","English","","","","","WorldCat Discovery Service","","Section: 48 pages : illustrations (some color) ; 23 cm.","","","","Computer science Vocational guidance Juvenile literature.; Computer science Vocational guidance.; Computer scientists Biography.; Computer scientists.; Computers and women Juvenile literature.; Computers and women.; Juvenile works.; Women Biography.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AP378ZPL","book","2016","Calkhoven, Laurie; Petersen, Alyssa","The women who launched the computer age","","978-1-4814-7047-6 978-1-4814-7048-3 978-1-4814-7046-9","","","","","2016","2020-09-16 14:35:54","2020-09-23 20:35:12","","","48","","","","","","You should meet","","","","Simon Spotlight","New York","English","","","","","WorldCat Discovery Service","","Section: 48 pages : chiefly color illustrations ; 24 cm.","","","","Biographies.; Computer industry United States History Juvenile literature.; Computer industry.; Computer programmers United States Biography Juvenile literature.; Computer programmers.; Computer scientists United States Biography Juvenile literature.; Computer scientists.; ENIAC (Computer); ENIAC (Computer) History Juvenile literature.; ENIAC (Computer).; History.; JUVENILE NONFICTION / Biography & Autobiography / Women.; JUVENILE NONFICTION / Computers / Programming.; JUVENILE NONFICTION / Reader - Beginner.; Juvenile works.; United States.; Women computer programmers United States Biography Juvenile literature.; Women computer programmers.; Women computer scientists United States Biography Juvenile literature.; Women computer scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNH6VLAG","book","2017","Edwards, Sue Bradford","Women in science","","978-1-68078-294-3","","","","","2017","2020-09-16 14:35:54","2020-09-23 20:32:19","","","112","","","","","","Women's lives in history","","","","Essential Library, an imprint of Abdo Publishing","Minneapolis, Minnesota","English","","","","","WorldCat Discovery Service","","Section: 112 pages : illustrations (some color) ; 22 x 25 cm.","","","","Biographies.; Juvenile works.; Women in science Juvenile literature.; Women in science.; Women scientists Biography Juvenile literature.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XJ8DMZZG","book","2006","Cohoon, J. McGrath.; Aspray, William.","Women and information technology: research on underrepresentation","","978-0-262-03345-9","","","http://www.books24x7.com/marc.asp?bookid=12935","","2006","2020-09-16 14:35:54","2020-09-23 20:32:46","2020-09-16 14:35:53","","xviii, 500","","","","","Women and information technology","","","","","MIT Press","Cambridge, Mass.","English","","","","","WorldCat Discovery Service","","Section: xviii, 500 pages : illustrations ; 24 cm","","","","54.00 computer science: general.; 71.31 sexes and their interrelations.; Beruf; Computers and women.; Computers.; Différences entre sexes en éducation.; Education.; Frau.; Informaticiennes.; Informatik; Information technology.; Informationstechnik; Ordinateurs et femmes.; Sex differences in education.; Unterprivilegierung; Women computer scientists.; Women.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8LEWJSAW","book","2018","Green, Jen; Zishan, Mohd","Women in science","","978-0-241-31595-8","","","","","2018","2020-09-16 14:35:54","2020-09-23 20:31:34","","","64","","","","","","DK. Level 3, Beginning to read alone","","","","Dorling Kindersley","London, England","English","","","","","WorldCat Discovery Service","","Section: 64 pages : illustrations (chiefly colour), portraits (chiefly colour) ; 24 cm.","","","","Juvenile works.; Readers (Elementary); Readers.; Subjects:; Women in science Juvenile literature.; Women in science.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GH5BBTNC","book","2020","Adams, Julia; Wright, Louise (Illustrator),","Inventors and scientists","","978-1-5382-4307-7 978-1-5382-4306-0","","","","","2020","2020-09-16 14:35:54","2020-09-23 20:36:26","","","48","","","","","","Women who made history","","","","Gareth Stevens Publishing","New York, NY","English","","","","","WorldCat Discovery Service","","Section: 48 pages : color illustrations ; 24 cm","","","","Biographies.; Juvenile works.; Women inventors Biography Juvenile literature.; Women inventors.; Women scientists Biography Juvenile literature.; Women scientists.","","","","","","","","","","","","","","","","","","","","","First edition.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GK4DWYZF","book","2017","Alexander, Heather","Women who rocked space","","978-1-4748-8253-8 978-1-4748-9203-2","","","","","2017","2020-09-16 14:35:54","2020-09-23 20:35:56","","","48","","","","","","STEM stars.","","","","Parragon","Bath, UK","English","","","","","WorldCat Discovery Service","","Section: 48 pages : illustrations, portraits ; 21 cm.","","","","Astronautics Juvenile literature.; Astronautics.; Biographies.; History.; JUVENILE NONFICTION / Biography & Autobiography / Science & Technology.; JUVENILE NONFICTION / Girls & Women.; JUVENILE NONFICTION / Technology / Aeronautics, Astronautics & Space Science.; Juvenile works.; Women in science History Juvenile literature.; Women in science Juvenile literature.; Women in science.; Women scientists Biography Juvenile literature.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
