&#65279;"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7RU4D4CL","book","2018","Green, Jen","Women in science","","978-1-4654-6860-4 978-1-4654-6859-8 978-0-7804-0038-2 978-1-5182-5354-6","","","http://www.perma-bound.com/ws/image/cover/000152980/m","","2018","2020-09-16 14:40:11","2020-09-25 19:32:07","2020-09-16 14:40:09","","64","","","","","","DK. Level 3, Beginning to read alone","","","","DK Publishing","New York, New York","English","","","","","WorldCat Discovery Service","","Section: 64 pages : illustrations (some color) ; 23 cm.","","","","Biographies.; Chapter-headings.; JUVENILE NONFICTION Biography & Autobiography Science & Technology.; JUVENILE NONFICTION Biography & Autobiography Women.; JUVENILE NONFICTION Reader Intermediate.; Juvenile works.; Readers (Primary); Readers (Publications); Women in science Biography.; Women in science Juvenile literature.; Women in science.","","","","","","","","","","","","","","","","","","","","","First American edition.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ZSR6RAF","book","2009","Layne, Margaret.","Women in engineering. Pioneers and trailblazers","","978-0-7844-0980-0","","","http://books.google.com/books?isbn=9780784409800","","2009","2020-09-16 14:40:11","2020-09-25 19:31:20","2020-09-16 14:40:09","","xi, 247","","","","","","","","","","ASCE Press","Reston, Va.","English","","","","","WorldCat Discovery Service","","Section: xi, 247 pages : illustrations ; 23 cm","","","","Kvinnliga uppfinnare.; Sociale geschiedenis.; Vernieuwing.; Vrouwen.; Women engineers.; Women in engineering.; Women inventors.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DGQPJUXG","book","2014","Lewis, Anna M.","Women of steel and stone: 22 inspirational architects, engineers, and landscape designers","","978-1-61374-508-3 978-1-61373-667-8","","","http://www.chicagoreviewpress.com","","2014","2020-09-16 14:40:11","2020-09-25 19:30:38","2020-09-16 14:40:10","","264","","","","","Women of steel and stone","Women of action","","","","Chicago Review Press","Chicago","English","","","","","WorldCat Discovery Service","","Section: 264 pages : illustrations ; 22 cm.","","","","Architects.; Biographies.; Engineers.; Ingenjörer.; JUVENILE NONFICTION Architecture.; JUVENILE NONFICTION Biography & Autobiography Science & Technology.; JUVENILE NONFICTION Biography & Autobiography Women.; JUVENILE NONFICTION Girls & Women.; Juvenile works.; Kvinnliga arkitekter.; Kvinnor.; Landscape architects.; Landskapsarkitekter.; Studie- och yrkesorientering.; Vocational guidance.; Women architects Biography Juvenile literature.; Women architects Biography.; Women architects.; Women Biography.; Women engineers Biography Juvenile literature.; Women engineers Biography.; Women engineers.; Women landscape architects Biography Juvenile literature.; Women landscape architects Biography.; Women landscape architects.; Women Vocational guidance Juvenile literature.; Women Vocational guidance.","","","","","","","","","","","","","","","","","","","","","First edition.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2K52AEH9","book","2009","Layne, Margaret.","Women in engineering. Professional life","","978-0-7844-0991-6","","","http://books.google.com/books?isbn=9780784409916","","2009","2020-09-16 14:40:11","2020-09-25 19:31:01","2020-09-16 14:40:10","","xi, 257","","","","","","","","","","American Society of Civil Engineers","Reston, Va.","English","","","","","WorldCat Discovery Service","","Section: xi, 257 pages ; 23 cm","","","","Women engineers Professional relationships.; Women in engineering.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7AX6BGET","book","2006","Fox, Mary Frank.; Johnson, Deborah G.; Rosser, Sue Vilhauer.","Women, gender, and technology","","978-0-252-03095-6 978-0-252-07336-6","","","http://catdir.loc.gov/catdir/toc/ecip0614/2006018048.html","","2006","2020-09-16 14:40:11","2020-09-25 19:34:30","2020-09-16 14:40:10","","viii, 204","","","","","","Women, gender, and technology","","","","University of Illinois Press","Urbana","English","","","","","WorldCat Discovery Service","","Section: viii, 204 pages : illustrations ; 23 cm.","","","","Computers and women United States.; Computers and women.; Femmes, Effets des innovations sur les États-Unis.; Frau; Frau.; Informatietechnologie.; Information technology Social aspects United States.; Information technology Social aspects.; Ordinateurs et femmes États-Unis.; Sekseverschillen.; Technologie; Technologie de l'information Aspect social États-Unis.; Technologie.; United States.; USA; USA.; Verenigde Staten.; Vrouwen.; Women Effect of technological innovations on United States.; Women Effect of technological innovations on.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I683P5VA","book","2017","Gagne, Tammy","Women in engineering","","978-1-68078-267-7","","","131710","","2017","2020-09-16 14:40:11","2020-09-25 19:34:11","2020-09-16 14:40:10","","48","","","","","","Women in STEM","","","","Core Library, an imprint of Abdo Publishing","Mankato, Minnesota","English","","","","","WorldCat Discovery Service","","Section: 48 pages : illustrations (chiefly color) ; 24 cm.","","","","Engineering Vocational guidance.; Juvenile works.; Literature.; Technology Vocational guidance.; Vocational guidance.; Women engineers.; Women in engineering Juvenile literature.; Women in engineering.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P7CLLKFI","book","2007","Engineers Australia.","Women in engineering: stories of inspiration.","","978-0-85825-727-6","","","","","2007","2020-09-16 14:40:11","2020-09-25 19:35:20","","","25","","","","","Women in engineering","","","","","Engineers Australia","Barton, ACT","English","","","","","WorldCat Discovery Service","","Section: 25 pages : portraits ; 22 x 30 cm","","","","Australia.; Biographies.; Women engineers Australia Biography.; Women engineers.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INDPTX2J","book","2017","Edwards, Sue Bradford","Women in science","","978-1-68078-294-3","","","","","2017","2020-09-16 14:40:11","2020-09-25 19:35:52","","","112","","","","","","Women's lives in history","","","","Essential Library, an imprint of Abdo Publishing","Minneapolis, Minnesota","English","","","","","WorldCat Discovery Service","","Section: 112 pages : illustrations (some color) ; 22 x 25 cm.","","","","Biographies.; Juvenile works.; Women in science Juvenile literature.; Women in science.; Women scientists Biography Juvenile literature.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DMRE86U3","book","2016","Ignotofsky, Rachel","Women in science: 50 fearless pioneers who changed the world","","978-1-60774-976-9","","","http://www.tenspeed.com","","2016","2020-09-16 14:40:11","2020-09-25 19:31:43","2020-09-16 14:40:11","","127","","","","","Women in science","","","","","Ten Speed Press","New York","English","","","","","WorldCat Discovery Service","","Section: 127 pages : color illustrations ; 24 cm","","","","Biographies.; BIOGRAPHY & AUTOBIOGRAPHY / Science & Technology.; BIOGRAPHY & AUTOBIOGRAPHY Science & Technology.; Biography.; Comic books, strips, etc.; Femmes dans les sciences.; Femmes scientifiques Biographies.; Juvenile works.; Medicine Comic books, strips, etc.; Medicine.; SCIENCE / Reference.; SCIENCE Reference.; SOCIAL SCIENCE / Women's Studies.; SOCIAL SCIENCE Women's Studies.; Women Biography.; Women scientists Biography Juvenile literature.; Women scientists Biography.; Women scientists.; YOUNG ADULT NONFICTION Biography & Autobiography Women.; YOUNG ADULT NONFICTION Biography & Autobiography.","","","","","","","","","","","","","","","","","","","","","First edition.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SJ7K35A3","book","2003","Xie, Yu; Shauman, Kimberlee A.","Women in science: career processes and outcomes","","978-0-674-01034-5 978-0-674-01859-4","","","http://www.gbv.de/dms/goettingen/369664515.pdf","","2003","2020-09-16 14:40:11","2020-09-25 19:30:13","2020-09-16 14:40:11","","xvi, 318","","","","","Women in science","","","","","Harvard University Press","Cambridge, Mass.","English","","","","","WorldCat Discovery Service","","Section: xvi, 318 pages : illustrations ; 25 cm","","","","Femmes dans les sciences.; Femmes scientifiques.; Technische wetenschappen.; Vrouwen.; Women in science.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
