&#65279;"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"A4H48YYI","book","2009","Venkatraman, Padma.","Women mathematicians","","978-1-59935-091-2","","","http://catdir.loc.gov/catdir/toc/ecip0816/2008017056.html","","2009","2020-09-16 14:49:38","2020-09-25 21:19:52","2020-09-16 14:49:34","","160","","","","","","Profiles in mathematics","","","","Morgan Reynolds Publishing","Greensboro, North Carolina","English","","","","","WorldCat Discovery Service","","Section: 160 pages : illustrations (some color) ; 24 cm.","","","","Biographies.; Biography. Mathematicians Europe.; Biography. Women mathematicians.; Biography. Women.; Europe.; Mathematicians Europe Biography.; Mathematicians Europe.; Mathematicians.; Women mathematicians Europe Biography.; Women mathematicians Europe.; Women mathematicians.","","","","","","","","","","","","","","","","","","","","","First edition.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTA7JGP","book","2000","Murray, Margaret Anne Marie.","Women becoming mathematicians: creating a professional identity in post-World War II America","","978-0-262-13369-2 978-0-262-63246-1","","","","","2000","2020-09-16 14:49:38","2020-09-25 21:20:33","","","xviii, 277","","","","","Women becoming mathematicians","","","","","MIT Press","Cambridge, Mass.","English","","","","","WorldCat Discovery Service","","Section: xviii, 277 pages : illustrations ; 24 cm","","","","Geschichte 1940-1959.; Matemática (história); Mathématiciennes États-Unis; Mathématiciennes États-Unis 1945- ...; Mathematics.; Mathematikerin; United States.; USA; USA.; Vrouwenemancipatie.; Wiskundigen.; Women mathematicians United States.; Women mathematicians.; Women.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZERAEXZ6","book","2016","Shetterly, Margot Lee","Hidden figures: the American dream and the untold story of the Black women mathematicians who helped win the space race","","978-0-06-236359-6 978-0-06-236360-2","","","http://www.hiddenfigures.com/","","2016","2020-09-16 14:49:38","2020-09-25 21:20:11","2020-09-16 14:49:36","","xviii, 346","","","","","Hidden figures","","","","","William Morrow","New York, NY","English","","","","","WorldCat Discovery Service","","Section: xviii, 346 pages ; 24 cm","","","","20th Century.; African American mathematicians Biography.; African American mathematicians.; African American women Biography.; African American women.; Astronautics United States Hitory.; Biographies.; Biography.; Conquête de l'espace États-Unis.; Employees.; Femmes scientifiques Biographies.; HISTORIES.; MATHEMATICS.; Mathematikerin; NASA PROGRAMS.; Noirs Ségrégation États-Unis.; Raumfahrtprogramm; Schwarze; Sexisme dans les sciences.; SOCIAL SCIENCE Ethnic Studies African American Studies.; Space race; Space race.; Umschulungswerkstätten für Siedler und Auswanderer; United States.; United States. National Aeronautics and Space Administration Officials and employees Biography.; United States. National Aeronautics and Space Administration.; Women mathematicians United States Biography.; Women mathematicians.","","","","","","","","","","","","","","","","","","","","","First edition.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3S4RIINF","book","2007","Chengalvarayan, P.; Gokilvani, S.","Women mathematicians: their contributions, a critique","","978-81-89915-72-8","","","","","2007","2020-09-16 14:49:38","2020-09-25 21:24:39","","","xiv, 207","","","","","Women mathematicians","","","","","Regal Publications","New Delhi","English","","","","","WorldCat Discovery Service","","Section: xiv, 207 pages : illustrations ; 23 cm","","","","Feminism and science India.; Feminism and science.; India.; Women in mathematics India.; Women in mathematics.; Women India Social conditions.; Women mathematicians India.; Women mathematicians.; Women Social conditions.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NHS3BFXC","book","2016","Ignotofsky, Rachel","Women in science: 50 fearless pioneers who changed the world","","978-1-60774-976-9","","","http://www.tenspeed.com","","2016","2020-09-16 14:49:38","2020-09-25 21:22:06","2020-09-16 14:49:37","","127","","","","","Women in science","","","","","Ten Speed Press","New York","English","","","","","WorldCat Discovery Service","","Section: 127 pages : color illustrations ; 24 cm","","","","Biographies.; BIOGRAPHY & AUTOBIOGRAPHY / Science & Technology.; BIOGRAPHY & AUTOBIOGRAPHY Science & Technology.; Biography.; Comic books, strips, etc.; Femmes dans les sciences.; Femmes scientifiques Biographies.; Juvenile works.; Medicine Comic books, strips, etc.; Medicine.; SCIENCE / Reference.; SCIENCE Reference.; SOCIAL SCIENCE / Women's Studies.; SOCIAL SCIENCE Women's Studies.; Women Biography.; Women scientists Biography Juvenile literature.; Women scientists Biography.; Women scientists.; YOUNG ADULT NONFICTION Biography & Autobiography Women.; YOUNG ADULT NONFICTION Biography & Autobiography.","","","","","","","","","","","","","","","","","","","","","First edition.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9DPAR2W6","book","2019","Jones, Shelly M.; Martins, Veronica","Women who count","","978-1-4704-4889-9","","","","","2019","2020-09-16 14:49:38","2020-09-25 21:21:39","","","xiii, 138","","","","","","","","","","American Mathematical Society","[Providence, Rhode Island]","English","","","","","WorldCat Discovery Service","","Section: xiii, 138 pages : illustrations ; 28 cm","","","","African American mathematicians Biography.; African American mathematicians.; African American women Biography.; African American women.; Biographies.; Mathematicians United States Biography.; Mathematicians.; Mathematics education Educational material and media, educational technology None of the above, but in this section.; Mathematics education General, mathematics and education History of mathematics and mathematics education.; United States.; Women mathematicians United States Biography.; Women mathematicians.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IPTQKAIM","book","2000","Bart, Jody","Women succeeding in the sciences: theories and practices across disciplines","","978-1-55753-121-6 978-1-55753-122-3","","","http://ets.umdl.umich.edu/cgi/t/text/text-idx?c=epv2;cc=epv2;view=toc;idno=BAY2442.0001.001","","2000","2020-09-16 14:49:38","2020-09-25 21:25:03","2020-09-16 14:49:37","","x, 277","","","","","Women succeeding in the sciences","","","","","Purdue University Press","West Lafayette, Ind.","English","","","","","WorldCat Discovery Service","","Section: x, 277 pages ; 24 cm","","","","Aufsatzsammlung; Geschichte; Lehrveranstaltung; Naturwissenschaftlerin; Naturwissenschaftliches Studium; Science education.; Science Study and teaching.; Women Education.; Women in science.; Women.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YGSKSGH8","book","2013","Wikipedia, Source.","Women mathematicians: ada lovelace, maria gaetana agnesi, sophie germain, grace hopper, hypatia.","","978-1-230-49967-3","","","","","2013","2020-09-16 14:49:38","2020-09-25 21:18:19","","","","","","","","Women mathematicians","","","","","University-Press Org","[Place of publication not identified]","English","","","","","WorldCat Discovery Service","","Section: pages","","","","NONE FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4TDHNLKU","book","2010","Gauthier, Xavière.","Women of consequence: heroines who shaped the world","","978-2-08-030091-1","","","","","2010","2020-09-16 14:49:38","2020-09-25 21:24:21","","","256","","","","","Women of consequence","","","","","Flammarion","Paris","English","","","","","WorldCat Discovery Service","","Section: 256 pages : illustrations (some color) ; 28 cm","","","","1900-2099; Biographies.; History.; Women heroes Biography.; Women heroes History 20th century.; Women heroes History 21st century.; Women heroes.","","","","","","","","","","","","","","","","","","","","","English language ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SCNCH3LX","book","2016","Holt, Nathalia","Rise of the rocket girls: the women who propelled us, from missiles to the moon to Mars","","978-0-316-33892-9 978-0-316-33890-5","","","https://www.loc.gov/catdir/enhancements/fy1614/2015954384-b.html","","2016","2020-09-16 14:49:38","2020-09-25 21:22:34","2020-09-16 14:49:38","","xiii, 338","","","","","Rise of the rocket girls","","","","","Little, Brown and Company","New York","English","","","","","WorldCat Discovery Service","","Section: xiii, 338 pages, 16 unnumbered pages of plates : illustrations (some color) ; 25 cm","","","","1900-1999; 1900-1999.; Astronautics United States History 20th century.; Astronautics United States History.; Astronautics.; Biographies.; Frauenberuf; Geschichte; HISTORIES.; History.; Informatik; Jet Propulsion Laboratory (U.S.); Jet Propulsion Laboratory (U.S.) Biography.; Jet Propulsion Laboratory (U.S.) History.; Mathematical Computing.; MATHEMATICS.; Mathematik; Rocketry United States History 20th century.; Rocketry United States History.; Rocketry.; ROCKETS.; Space Flight history.; United States.; Women computer programmers United States Biography.; Women computer programmers United States History.; Women computer programmers.; Women history.; Women in computer science United States Biography.; Women in computer science.; Women mathematicians Biography.; Women mathematicians History.; Women mathematicians United States Biography.; Women mathematicians United States History.; Women mathematicians.","","","","","","","","","","","","","","","","","","","","","First edition.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ZSGGM7B","book","2017","Ballenger, Julia; Polnick, Barbara; Irby, Beverly J.","Women of color in STEM: navigating the workforce","","978-1-68123-706-0 978-1-68123-707-7","","","","","2017","2020-09-16 14:50:08","2020-09-25 21:17:57","","","xvii, 208","","","","","Women of color in STEM","Research on women and education","","","","Information Age Publishing, Inc.","Charlotte, NC","English","","","","","WorldCat Discovery Service","","Section: xvii, 208 pages : illustrations ; 24 cm.","","","","African American women in the professions.; Professions Women.; Women in science.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YXG2MBBU","book","2018","Montague, Charlotte","Women of invention: life-changing ideas by remarkable women","","978-0-7858-3500-4","","","","","2018","2020-09-16 14:50:08","2020-09-25 21:16:56","","","192","","","","","Women of invention","","","","","Chartwell Books","New York, NY","English","","","","","WorldCat Discovery Service","","Section: 192 pages : illustrations (some color) ; 28 cm","","","","Biographies.; BIOGRAPHY & AUTOBIOGRAPHY Science & Technology.; BIOGRAPHY & AUTOBIOGRAPHY Women.; History.; Inventions History.; Inventions.; SCIENCE Reference.; Women Biography.; Women inventors Biography.; Women inventors.; Women.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2PCJ2B6M","book","2016","Shetterly, Margot Lee","Hidden figures: the American dream and the untold story of the Black women mathematicians who helped win the space race","","978-0-06-236360-2","","","http://www.smithsonianmag.com/history/forgotten-black-women-mathematicians-who-helped-win-wars-and-send-astronauts-space-180960393/","","2016","2020-09-16 14:50:08","2020-09-25 21:13:15","2020-09-16 14:50:03","","xviii, 349","","","","","Hidden figures","","","","","William Morrow, an imprint of HarperCollins Publishers","New York, NY","English","","","","","WorldCat Discovery Service","","Section: xviii, 349 pages ; 21 cm","","","","African American mathematicians Biography.; African American mathematicians.; African American women Biography.; African American women.; Astronautics United States History.; Biographies.; Employees.; HISTORY United States 20th Century.; SCIENCE Space Science.; SOCIAL SCIENCE Ethnic Studies African American Studies.; Space race; Space race.; United States.; United States. National Aeronautics and Space Administration Officials and employees Biography.; United States. National Aeronautics and Space Administration.; Women mathematicians United States Biography.; Women mathematicians.","","","","","","","","","","","","","","","","","","","","","First William Morrow movie tie-in trade paperback edition.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XFTJRHH4","book","2003","Haven, Kendall F.","Women at the edge of discovery: 40 true science adventures","","978-1-59158-015-7","","","","","2003","2020-09-16 14:50:08","2020-09-25 21:17:14","","","xx, 273","","","","","Women at the edge of discovery","","","","","Libraries Unlimited","Westport, Conn.","English","","","","","WorldCat Discovery Service","","Section: xx, 273 pages ; 24 cm","","","","1900-1999; Biographies.; History.; Science History 20th century.; Science.; Vrouwen.; Wetenschapsbeoefenaars.; Women scientists Biography.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
