&#65279;"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GNNF9B5I","book","2009","Layne, Margaret.","Women in engineering. Pioneers and trailblazers","","978-0-7844-0980-0","","","http://books.google.com/books?isbn=9780784409800","","2009","2020-09-16 14:27:32","2020-09-16 16:54:04","2020-09-16 14:27:30","","xi, 247","","","","","","","","","","ASCE Press","Reston, Va.","English","","","","","WorldCat Discovery Service","","Section: xi, 247 pages : illustrations ; 23 cm","","","","Kvinnliga uppfinnare.; Sociale geschiedenis.; Vernieuwing.; Vrouwen.; Women engineers.; Women in engineering.; Women inventors.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7WLR2Z83","book","2009","Layne, Margaret.","Women in engineering. Professional life","","978-0-7844-0991-6","","","http://books.google.com/books?isbn=9780784409916","","2009","2020-09-16 14:27:32","2020-09-16 16:53:41","2020-09-16 14:27:30","","xi, 257","","","","","","","","","","American Society of Civil Engineers","Reston, Va.","English","","","","","WorldCat Discovery Service","","Section: xi, 257 pages ; 23 cm","","","","Women engineers Professional relationships.; Women in engineering.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DBAUY5XB","book","0000","Women in Engineering.; University of Adelaide. Equal Opportunity Office.","Women doing engineering: join us.","","","","","","","0000","2020-09-16 14:27:32","2020-09-16 16:52:48","","","","","","","","Women doing engineering","","","","","Women in Engineering","Glenside, S. Aust.","English","","","","","WorldCat Discovery Service","","Section: 17 unnumbered pages : portraits ; 30 cm","","","","South Australia.; Women engineers Australia South Australia.; Women engineers.; Women in engineering Australia South Australia.; Women in engineering.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HUMSF4K7","book","2017","Gagne, Tammy","Women in engineering","","978-1-68078-267-7","","","131710","","2017","2020-09-16 14:27:32","2020-09-16 16:54:54","2020-09-16 14:27:31","","48","","","","","","Women in STEM","","","","Core Library, an imprint of Abdo Publishing","Mankato, Minnesota","English","","","","","WorldCat Discovery Service","","Section: 48 pages : illustrations (chiefly color) ; 24 cm.","","","","Engineering Vocational guidance.; Juvenile works.; Literature.; Technology Vocational guidance.; Vocational guidance.; Women engineers.; Women in engineering Juvenile literature.; Women in engineering.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JH8G8DUZ","book","2007","Burke, Ronald J.; Mattis, Mary C.","Women and minorities in science, technology, engineering, and mathematics: upping the numbers","","978-1-84542-888-4 978-1-84720-687-9","","","http://catdir.loc.gov/catdir/toc/ecip0716/2007016049.html","","2007","2020-09-16 14:27:32","2020-09-16 16:56:06","2020-09-16 14:27:31","","xvii, 379","","","","","Women and minorities in science, technology, engineering, and mathematics","","","","","Edward Elgar","Cheltenham, UK ;","English","","","","","WorldCat Discovery Service","","Section: xvii, 379 pages : illustrations ; 24 cm","","","","Arbeitswelt; Berufsausbildung; Employment.; Engineering.; Frau; Frau.; Gleichberechtigung; Mathematics.; Mathematik; Minderheit; Minorities in engineering.; Minorities in mathematics.; Minorities in science.; Minorities in technology.; Minority Groups.; Naturwissenschaften; Science.; Technik; Technology.; Women in engineering.; Women in mathematics.; Women in science.; Women in technology.; Women.; Workforce.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U7J8MEUU","book","2005","Walton, Andrea","Women and philanthropy in education","","978-0-253-34466-3","","","http://site.ebrary.com/id/10124802","","2005","2020-09-16 14:27:32","2020-09-16 16:53:15","2020-09-16 14:27:31","","xi, 356","","","","","","Philanthropic and nonprofit studies","","","","Indiana University Press","Bloomington","English","","","","","WorldCat Discovery Service","","Section: xi, 356 pages ; 25 cm.","","","","19e siècle.; 20e siècle.; Éducation des femmes.; Endowments United States History.; Endowments.; Enseignement supérieur.; États-Unis.; Femme.; Femmes dans l'enseignement supérieur États-Unis Histoire.; Femmes Enseignement supérieur États-Unis Histoire.; Femmes philanthropes États-Unis Histoire.; Fondation (Institution); Fondations États-Unis Histoire.; Histoire.; History.; Hochschullehrerin.; Philanthropie.; United States.; USA.; Women in higher education United States History.; Women in higher education.; Women philanthropists United States History.; Women philanthropists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IXSP7QHN","book","2006","Fox, Mary Frank.; Johnson, Deborah G.; Rosser, Sue Vilhauer.","Women, gender, and technology","","978-0-252-03095-6 978-0-252-07336-6","","","http://catdir.loc.gov/catdir/toc/ecip0614/2006018048.html","","2006","2020-09-16 14:27:32","2020-09-16 16:55:22","2020-09-16 14:27:31","","viii, 204","","","","","","Women, gender, and technology","","","","University of Illinois Press","Urbana","English","","","","","WorldCat Discovery Service","","Section: viii, 204 pages : illustrations ; 23 cm.","","","","Computers and women United States.; Computers and women.; Femmes, Effets des innovations sur les États-Unis.; Frau; Frau.; Informatietechnologie.; Information technology Social aspects United States.; Information technology Social aspects.; Ordinateurs et femmes États-Unis.; Sekseverschillen.; Technologie; Technologie de l'information Aspect social États-Unis.; Technologie.; United States.; USA; USA.; Verenigde Staten.; Vrouwen.; Women Effect of technological innovations on United States.; Women Effect of technological innovations on.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VHHB27Y5","book","2018","Brereton, Catherine","Women scientists in physics and engineering","","978-1-5382-1412-1 978-1-5382-1465-7","","","","","2018","2020-09-16 14:27:32","2020-09-16 16:56:45","","","48","","","","","","Superwomen in STEM","","","","Gareth Stevens Publishing","New York, NY","English","","","","","WorldCat Discovery Service","","Section: 48 pages : color illustrations, portraits (some color) ; 25 cm","","","","Juvenile works.; Literature.; Women in science Juvenile literature.; Women in science.; Women physicists Juvenile literature.; Women physicists.; Women scientists Juvenile literature.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QQQQRF9P","book","2018","Hahn, Laura D.; Wolters, Angela S.","Women and ideas in engineering: twelve stories from Illinois","","978-0-252-04196-9","","","","","2018","2020-09-16 14:27:32","2020-09-16 16:54:25","","","xiv, 195","","","","","Women and ideas in engineering","","","","","University of Illinois Press","Urbana","English","","","","","WorldCat Discovery Service","","Section: xiv, 195 pages : illustrations (chiefly color) ; 24 cm","","","","Biographies.; Engineering Illinois History.; Engineering.; Engineers United States Biography.; Engineers.; History.; Illinois Biography.; Illinois.; United States.; Women engineers United States Biography.; Women engineers.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XGBYK9H4","book","2010","Cater-Steel, Aileen; Cater, Emily","Women in engineering, science and technology: education and career challenges","","978-1-61520-657-5 978-1-61520-658-2","","","","","2010","2020-09-16 14:27:32","2020-09-16 16:55:42","","","xxv, 358","","","","","Women in engineering, science and technology","","","","","Engineering Science Reference","Hershey, PA","English","","","","","WorldCat Discovery Service","","Section: xxv, 358 pages : illustrations ; 29 cm","","","","Women Employment.; Women in the professions.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PMGPLQYJ","book","2009","Frize, Monique; Frize, Peter R. D.; Faulkner, Nadine","The bold and the brave: a history of women in science and engineering","","978-0-7766-0725-2","","","https://www.loc.gov/catdir/enhancements/fy1616/2008460336-b.html","","2009","2020-09-16 14:27:51","2020-09-16 16:51:55","2020-09-16 14:27:49","","xvi, 348","","","","","The bold and the brave","","","","","University of Ottawa Press","Ottawa","English","","","","","WorldCat Discovery Service","","Section: xvi, 348 pages : illustrations ; 20 cm","","","","Erziehung.; Femmes dans les sciences Biographies.; Femmes dans les sciences Histoire.; Femmes Éducation Histoire.; Femmes en ingénierie Histoire.; Femmes Vie intellectuelle.; Frau.; History.; Ingenieurin.; Naturwissenschaftlerin.; Women Education History.; Women Education.; Women in engineering History.; Women in engineering.; Women in science History.; Women in science.; Women Intellectual life.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KJM3Q8AV","book","2003","Xie, Yu; Shauman, Kimberlee A.","Women in science: career processes and outcomes","","978-0-674-01034-5 978-0-674-01859-4","","","http://www.gbv.de/dms/goettingen/369664515.pdf","","2003","2020-09-16 14:27:51","2020-09-16 16:48:07","2020-09-16 14:27:49","","xvi, 318","","","","","Women in science","","","","","Harvard University Press","Cambridge, Mass.","English","","","","","WorldCat Discovery Service","","Section: xvi, 318 pages : illustrations ; 25 cm","","","","Femmes dans les sciences.; Femmes scientifiques.; Technische wetenschappen.; Vrouwen.; Women in science.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NGYDIR9Q","book","2000","United Nations. Economic Commission for Europe. Statistical Division.; U.S. Census Bureau.","Women and men in Europe and North America, 2000","","978-92-1-116747-4","","","","","2000","2020-09-16 14:27:51","2020-09-16 16:48:43","","","xx, 252","","","","","","","","","","United Nations","New York","English","","","","","WorldCat Discovery Service","","Section: xx, 252 pages : illustrations, maps ; 30 cm","","","","Amérique du Nord Différences entre sexes Statistiques.; DISTRIBUCION POR SEXO (DEMOGRAFIA) AMERICA DEL NORTE ESTADISTICAS.; DISTRIBUCION POR SEXO (DEMOGRAFIA) EUROPA ESTADISTICAS.; Europe Différences entre sexes Statistiques.; Europe.; Femmes Amérique du Nord Statistiques.; Femmes Europe Statistiques.; Hommes Amérique du Nord Statistiques.; Hommes Europe Statistiques.; Indicateurs sociaux.; Leefsituatie.; Mannen.; North America.; Population Statistiques.; Répartition par sexe (démographie); Répartition par sexe (démographie) Amérique du Nord Statistiques.; Sex distribution (Demography); Sex distribution (Demography) Europe Statistics.; Sex distribution (Demography) North America Statistics.; Statistics.; Vrouwen.","","","","","","","","","","","","","","","","","","","","","[2nd ed.].","","","","","","","","","","","","","","","","","","","","","","","","","",""
