&#65279;"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"U63CCSBD","book","2018","Brereton, Catherine","Women scientists in math and coding","","978-1-5382-1408-4 978-1-5382-1469-5","","","","","2018","2020-09-16 14:20:52","2020-09-16 19:24:50","","","48","","","","","","Superwomen in STEM","","","","Gareth Stevens Publishing","New York, NY","English","","","","","WorldCat Discovery Service","","Section: 48 pages : color illustrations, portraits (some color) ; 25 cm","","","","Juvenile works.; Literature.; Women in mathematics Juvenile literature.; Women in mathematics.; Women in science Juvenile literature.; Women in science.; Women scientists Juvenile literature.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TSKVAILG","book","2004","Crawford, Mary; Unger, Rhoda Kesler.","Women and gender: a feminist psychology","","978-0-07-282107-9 978-0-07-121661-6","","","http://catdir.loc.gov/catdir/toc/fy042/2003059540.html","","2004","2020-09-16 14:20:52","2020-09-16 19:24:02","2020-09-16 14:20:49","","","","","","","Women and gender","","","","","McGraw-Hill","Boston","English","","","","","WorldCat Discovery Service","","Section: xxii, 526, [107] pages : illustrations ; 24 cm","","","","Feminist psychology.; Women Psychology.","","","","","","","","","","","","","","","","","","","","","4th ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B68N7E3K","book","2003","Xie, Yu; Shauman, Kimberlee A.","Women in science: career processes and outcomes","","978-0-674-01034-5 978-0-674-01859-4","","","http://www.gbv.de/dms/goettingen/369664515.pdf","","2003","2020-09-16 14:20:52","2020-09-16 19:18:20","2020-09-16 14:20:50","","xvi, 318","","","","","Women in science","","","","","Harvard University Press","Cambridge, Mass.","English","","","","","WorldCat Discovery Service","","Section: xvi, 318 pages : illustrations ; 25 cm","","","","Femmes dans les sciences.; Femmes scientifiques.; Technische wetenschappen.; Vrouwen.; Women in science.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L5LLB25Y","book","2008","Bay-Williams, Jennifer M.; Martinie, Sherri L.","Math and nonfiction. Grades 6-8","","978-0-941355-86-5","","","http://catdir.loc.gov/catdir/toc/ecip0820/2008024557.html","","2008","2020-09-16 14:20:52","2020-09-16 19:25:28","2020-09-16 14:20:50","","xvi, 207","","","","","","","","","","Math Solutions Publications","Sausalito, CA","English","","","","","WorldCat Discovery Service","","Section: xvi, 207 pages : illustrations ; 28 cm","","","","Children's literature in mathematics education.; Mathematics Study and teaching (Middle school)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YLHNP6NU","book","2000","Bart, Jody","Women succeeding in the sciences: theories and practices across disciplines","","978-1-55753-121-6 978-1-55753-122-3","","","http://ets.umdl.umich.edu/cgi/t/text/text-idx?c=epv2;cc=epv2;view=toc;idno=BAY2442.0001.001","","2000","2020-09-16 14:20:52","2020-09-16 19:25:54","2020-09-16 14:20:50","","x, 277","","","","","Women succeeding in the sciences","","","","","Purdue University Press","West Lafayette, Ind.","English","","","","","WorldCat Discovery Service","","Section: x, 277 pages ; 24 cm","","","","Aufsatzsammlung; Geschichte; Lehrveranstaltung; Naturwissenschaftlerin; Naturwissenschaftliches Studium; Science education.; Science Study and teaching.; Women Education.; Women in science.; Women.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z86PFUXN","book","2014","Lewis, Anna M.","Women of steel and stone: 22 inspirational architects, engineers, and landscape designers","","978-1-61374-508-3 978-1-61373-667-8","","","http://www.chicagoreviewpress.com","","2014","2020-09-16 14:20:52","2020-09-16 19:23:01","2020-09-16 14:20:51","","264","","","","","Women of steel and stone","Women of action","","","","Chicago Review Press","Chicago","English","","","","","WorldCat Discovery Service","","Section: 264 pages : illustrations ; 22 cm.","","","","Architects.; Biographies.; Engineers.; Ingenjörer.; JUVENILE NONFICTION Architecture.; JUVENILE NONFICTION Biography & Autobiography Science & Technology.; JUVENILE NONFICTION Biography & Autobiography Women.; JUVENILE NONFICTION Girls & Women.; Juvenile works.; Kvinnliga arkitekter.; Kvinnor.; Landscape architects.; Landskapsarkitekter.; Studie- och yrkesorientering.; Vocational guidance.; Women architects Biography Juvenile literature.; Women architects Biography.; Women architects.; Women Biography.; Women engineers Biography Juvenile literature.; Women engineers Biography.; Women engineers.; Women landscape architects Biography Juvenile literature.; Women landscape architects Biography.; Women landscape architects.; Women Vocational guidance Juvenile literature.; Women Vocational guidance.","","","","","","","","","","","","","","","","","","","","","First edition.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EPAZE2E2","book","2005","Xie, Yu; Shauman, Kimberlee A.","Women in science: career processes and outcomes","","978-0-674-01859-4","","","","","2005","2020-09-16 14:20:52","2020-09-16 19:18:02","","","xvii, 318","","","","","Women in science","","","","","Harvard University Press","Cambridge, Mass.","English","","","","","WorldCat Discovery Service","","Section: xvii, 318 pages : illustrations ; 24 cm","","","","Women in science.; Women scientists.","","","","","","","","","","","","","","","","","","","","","1st Harvard University Press paperback ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S73DB56I","book","2004","Connor, Rebecca Elisabeth","Women, accounting, and narrative: keeping books in eighteenth-century England","","978-0-415-17046-8 978-0-203-64603-8","","","http://catdir.loc.gov/catdir/enhancements/fy0649/2003066689-d.html","","2004","2020-09-16 14:20:52","2020-09-16 19:24:29","2020-09-16 14:20:52","","viii, 214","","","","","Women, accounting, and narrative","Routledge research in gender and history ; 6","","","","Routledge","London ;","English","","","","","WorldCat Discovery Service","","Section: viii, 214 pages : illustrations ; 24 cm.","","","","1700-1799; Behn, Aphra, 1640-1689.; Boekhouden.; Bookkeeping England History 18th century.; Bookkeeping.; Defoe, Daniel, 1661?-1731.; England.; Fortunes and misfortunes of the famous Moll Flanders (Defoe, Daniel); History.; Romans.; Vrouwen.; Women accountants England History 18th century.; Women accountants.; Women England History 18th century.; Women.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8D7CAPHB","book","2016","Shetterly, Margot Lee","Hidden figures: the American dream and the untold story of the Black women mathematicians who helped win the space race","","978-0-06-236359-6 978-0-06-236360-2","","","http://www.hiddenfigures.com/","","2016","2020-09-16 14:20:52","2020-09-16 19:22:31","2020-09-16 14:20:52","","xviii, 346","","","","","Hidden figures","","","","","William Morrow","New York, NY","English","","","","","WorldCat Discovery Service","","Section: xviii, 346 pages ; 24 cm","","","","20th Century.; African American mathematicians Biography.; African American mathematicians.; African American women Biography.; African American women.; Astronautics United States Hitory.; Biographies.; Biography.; Conquête de l'espace États-Unis.; Employees.; Femmes scientifiques Biographies.; HISTORIES.; MATHEMATICS.; Mathematikerin; NASA PROGRAMS.; Noirs Ségrégation États-Unis.; Raumfahrtprogramm; Schwarze; Sexisme dans les sciences.; SOCIAL SCIENCE Ethnic Studies African American Studies.; Space race; Space race.; Umschulungswerkstätten für Siedler und Auswanderer; United States.; United States. National Aeronautics and Space Administration Officials and employees Biography.; United States. National Aeronautics and Space Administration.; Women mathematicians United States Biography.; Women mathematicians.","","","","","","","","","","","","","","","","","","","","","First edition.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6EL3XQ4H","book","2009","Iowa Math and Science Education Partnership.; Iowa. Department of Education.","Women and minorities in STEM programs at Iowa's public universities.","","","","","","","2009","2020-09-16 14:20:52","2020-09-16 19:23:32","","","61","","","","","","","","","","[Iowa Math and Science Education Partnership]","[Des Moines, Iowa]","English","","","","","WorldCat Discovery Service","","Section: 61 pages : illustrations, maps ; 28 cm","","","","Iowa.; Minorities in engineering Iowa.; Minorities in engineering.; Minorities in mathematics Iowa.; Minorities in mathematics.; Minorities in science Iowa.; Minorities in science.; Minorities in technology Iowa.; Minorities in technology.; Women in engineering Iowa.; Women in engineering.; Women in mathematics Iowa.; Women in mathematics.; Women in science Iowa.; Women in science.; Women in technology Iowa.; Women in technology.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H7FE22VM","book","2009","Iowa Math and Science Education Partnership.; Iowa. Department of Education.","Women and minorities in STEM programs at Iowa's public universities.","","","","","","","2009","2020-09-16 14:21:13","2020-09-16 19:15:24","","","61","","","","","","","","","","[Iowa Math and Science Education Partnership]","[Des Moines, Iowa]","English","","","","","WorldCat Discovery Service","","Section: 61 pages : illustrations, maps ; 28 cm","","","","Iowa.; Minorities in engineering Iowa.; Minorities in engineering.; Minorities in mathematics Iowa.; Minorities in mathematics.; Minorities in science Iowa.; Minorities in science.; Minorities in technology Iowa.; Minorities in technology.; Women in engineering Iowa.; Women in engineering.; Women in mathematics Iowa.; Women in mathematics.; Women in science Iowa.; Women in science.; Women in technology Iowa.; Women in technology.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D8J32UPK","book","2000","Satow, Roberta.","Gender and social life","","978-0-321-03421-2","","","","","2000","2020-09-16 14:21:13","2020-09-16 19:14:20","","","xvi, 410","","","","","","","","","","Allyn and Bacon","Boston","English","","","","","WorldCat Discovery Service","","Section: xvi, 410 pages : illustrations ; 24 cm","","","","Femmes Conditions sociales.; Hommes Conditions sociales.; Men Social conditions.; Rôle selon le sexe.; Sex role.; Women Social conditions.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4Q32EWSV","book","2011","Brahier, Daniel J.; Speer, William R.; National Council of Teachers of Mathematics.","Motivation and disposition: pathways to learning mathematics","","978-0-87353-661-5","","","","","2011","2020-09-16 14:21:13","2020-09-16 19:16:35","","","x, 303","","","","","Motivation and disposition","Yearbook / National Council of Teachers of Mathematics ; 73rd","","","","National Council of Teachers of Mathematics","Reston, VA","English","","","","","WorldCat Discovery Service","","Section: x, 303 pages : illustrations ; 24 cm.","","","","Matematikundervisning.; Mathematics Study and teaching.; Mathematikunterricht; Mathematikunterricht.; Motivation; Motivation.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RV8PGE4Z","book","2009","Bay-Williams, Jennifer M.; Martinie, Sherri L.","Math and nonfiction. Grades 6-8","","978-0-941355-86-5","","","http://catdir.loc.gov/catdir/toc/ecip0820/2008024557.html","","2009","2020-09-16 14:21:13","2020-09-16 19:17:25","2020-09-16 14:21:12","","xvi, 207","","","","","","","","","","Math Solutions Publications","Sausalito, CA","English","","","","","WorldCat Discovery Service","","Section: xvi, 207 pages : illustrations ; 28 cm","","","","Children's literature in mathematics education.; Mathematics Study and teaching (Middle school)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AWYJCSR6","book","2006","Caprio, Mark.; Matsuda, K&#333;ichir&#333;; &#26494;&#30000;, &#23439;&#19968;&#37070;(1961-)","Japan and the Pacific, 1540-1920","","978-0-7546-3683-0","","","http://digitool.hbz-nrw.de:1801/webclient/DeliveryManager?pid=1646413&custom_att_2=simple_viewer","","2006","2020-09-16 14:21:13","2020-09-16 19:16:14","2020-09-16 14:21:12","","xxxix, 422","","","","","","The Pacific world ; v. 10","","","","Ashgate/Variorum","Aldershot, England ;","English","","","","","WorldCat Discovery Service","","Section: xxxix, 422 pages : illustrations ; 25 cm.","","","","15.85 history of America.; 15.90 history of Australia and Oceania.; Asiatisch-Pazifischer Raum; Diplomatische Beziehungen; Ethnic relations.; Foreign relations.; International economic relations.; International relations.; Japan Foreign economic relations Pacific Area.; Japan Relations Pacific Area.; Japan.; Japanese Pacific Area.; Japanese.; Japón Relaciones Pacífico (Región) Historia.; Japon Relations économiques extérieures Pacifique (région) Histoire.; Japon Relations Pacifique (région) Histoire.; Japonais Pacifique (région) Histoire.; Kulturkontakt; Pacific Area Ethnic relations.; Pacific Area Foreign economic relations Japan.; Pacific Area Relations Japan.; Pacific Area.; Pacific region.; Pacífico (Región) Relaciones Japón Historia.; Pacifique (région) Relations économiques extérieures Japon Histoire.; Pacifique (région) Relations interethniques Histoire.; Pacifique (région) Relations Japon Histoire.; Wirtschaftsbeziehungen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P8WJM8P2","book","2019","Reimer, Marilee","Women and careers: transnational studies in public policy and employment equity","","978-1-138-63373-5","","","","","2019","2020-09-16 14:21:13","2020-09-16 19:15:06","","","viii, 173","","","","","Women and careers","Routledge studies in gender and organizations ; 3","","","","Routledge","New York, NY","English","","","","","WorldCat Discovery Service","","Section: viii, 173 pages ; 24 cm.","","","","Diversity in the workplace.; Sex discrimination in employment.; Women Employment.; Women Vocational guidance.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
