&#65279;"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MKJSM764","book","2009","Gornick, Vivian.","Women in science: then and now","","978-1-55861-587-8 978-1-55861-594-6","","","","","2009","2020-09-16 14:06:28","2020-09-22 15:50:07","","","viii, 151","","","","","Women in science","Women writing science","","","","The Feminist Press at The City University of New York","New York","English","","","","","WorldCat Discovery Service","","Section: viii, 151 pages ; 22 cm.","","","","Forskare naturvetenskap Förenta staterna.; Kvinnliga forskare.; Mansdominerade yrken arbetsförhållanden.; Physical Sciences & Mathematics.; Sciences - General.; Vetenskap Forskning.; Women in science.","","","","","","","","","","","","","","","","","","","","","25th anniversary ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T7ING3IA","book","2004","Sheffield, Suzanne Le-May","Women and science: social impact and interaction","","978-1-85109-460-8","","","http://link.library.utoronto.ca/eir/EIRdetail.cfm?Resources__ID=890501&T=F","","2004","2020-09-16 14:06:28","2020-09-22 15:42:06","2020-09-16 14:06:26","","xxxv, 409","","","","","Women and science","Science and society","","","","ABC-CLIO","Santa Barbara, Calif.","English","","","","","WorldCat Discovery Service","","Section: xxxv, 409 pages : illustrations, portraits ; 27 cm.","","","","Feminism and science.; Féminisme et sciences.; Femmes dans les sciences Aspect social.; Femmes scientifiques.; Women in science Social aspects.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3UUCY9E8","book","2003","Xie, Yu; Shauman, Kimberlee A.","Women in science: career processes and outcomes","","978-0-674-01034-5 978-0-674-01859-4","","","http://www.gbv.de/dms/goettingen/369664515.pdf","","2003","2020-09-16 14:06:28","2020-09-22 15:40:45","2020-09-16 14:06:26","","xvi, 318","","","","","Women in science","","","","","Harvard University Press","Cambridge, Mass.","English","","","","","WorldCat Discovery Service","","Section: xvi, 318 pages : illustrations ; 25 cm","","","","Femmes dans les sciences.; Femmes scientifiques.; Technische wetenschappen.; Vrouwen.; Women in science.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DFKDFU7Q","book","2006","Sheffield, Suzanne Le-May","Women and science: social impact and interaction","","978-0-8135-3737-5","","","","","2006","2020-09-16 14:06:28","2020-09-22 15:42:33","","","xxxv, 409","","","","","Women and science","Science and society","","","","Rutgers University Press","New Brunswick, New Jersey","English","","","","","WorldCat Discovery Service","","Section: xxxv, 409 pages : illustrations ; 26 cm.","","","","Feminism and science.; Féminisme et sciences.; Femmes dans les sciences Aspect social.; Femmes scientifiques.; Sekseverschillen.; Vrouwen.; Wetenschapsbeoefenaars.; Women in science Social aspects.; Women scientists.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4HP95LQ9","book","2007","Watts, Ruth","Women in science: a social and cultural history","","978-0-415-25306-2 978-0-415-25307-9 978-0-203-96235-0","","","http://catdir.loc.gov/catdir/toc/fy1002/2007019707.html","","2007","2020-09-16 14:06:28","2020-09-22 15:41:32","2020-09-16 14:06:26","","ix, 300","","","","","Women in science","","","","","Routledge","London ;","English","","","","","WorldCat Discovery Service","","Section: ix, 300 pages ; 24 cm","","","","02.01 history of science and culture.; Forskare.; Geschichte; History.; Kulturhistoria.; Kvinnliga vetenskapsmän historia.; Naturvetenskap medicin representation 1700-talet 1800-talet 1900-talet.; Science history.; Utbildning.; Vrouwen.; Wetenschapsbeoefenaars.; Women history.; Women in science History; Women in science History.; Women in science Social aspects; Women in science Social aspects.; Women in science.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CYJUSPP6","book","2000","Goldman, Marlene B.; Hatch, Maureen.","Women and health","","978-0-12-288145-9","","","http://catdir.loc.gov/catdir/toc/els033/99061535.html","","2000","2020-09-16 14:06:28","2020-09-22 15:50:33","2020-09-16 14:06:27","","xx, 1276","","","","","","","","","","Academic Press","San Diego, Calif","English","","","","","WorldCat Discovery Service","","Section: xx, 1276 pages : illustrations (some color) ; 29 cm","","","","Aufsatzsammlung; Femmes Santé et hygiène.; Femmes.; Frau; Frau.; Gesundheit; Gezondheidszorg.; Santé des femmes.; Vrouwen.; Women Diseases.; Women Health and hygiene.; Women's Health.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XSLPCJ5K","book","2009","Reid, Robin Anne","Women in science fiction and fantasy","","978-0-313-33589-1 978-0-313-33591-4 978-0-313-33592-1","","","http://catdir.loc.gov/catdir/toc/ecip0825/2008035424.html","","2009","2020-09-16 14:06:28","2020-09-22 15:43:00","2020-09-16 14:06:27","","","","","","","","","","","","Greenwood Press","Westport, Conn.","English","","","","","WorldCat Discovery Service","","Section: 2 volumes ; 26 cm","","","","1900-1999; Autorin; Autorin.; Criticism, interpretation, etc.; Fantastische Kunst; Fantastische Literatur; Fantastischer Film; Fantastisches Rollenspiel; Fantastisk litteratur kvinnliga författare historia.; Fantasy fiction Women authors History and criticism.; Fantasy fiction Women authors.; Fantasy fiction, American History and criticism.; Fantasy fiction, American.; Fantasy fiction, English History and criticism.; Fantasy fiction, English.; Feminism in literature.; Feminism könsidentitet film musik radio & TV.; Författare litteraturvetenskap science fiction fantasier historia Storbritannien Förenta Staterna 1900-talet.; Frau; Frau <Motiv>; Gender identity in literature.; Geschlechterrolle; Geschlechterrolle.; History.; Könsidentitet i litteraturen.; Kvinnor i litteraturen.; Phantastische Kunst.; Phantastische Literatur.; Phantastischer Film.; Phantastisches Rollenspiel.; Science fiction kvinnliga författare historia.; Science fiction Women authors History and criticism.; Science fiction Women authors.; Science fiction, American History and criticism.; Science fiction, American.; Science fiction, English History and criticism.; Science fiction, English.; Science-Fiction; Science-Fiction.; Women and literature History 20th century.; Women and literature.; Women in literature.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UJU2UJKR","book","2001","Lederman, Muriel; Bartsch, Ingrid","The gender and science reader","","978-0-415-21357-8 978-0-415-21358-5","","","","","2001","2020-09-16 14:06:28","2020-09-22 15:43:43","","","xiv, 505","","","","","","","","","","Routledge","London ;","English","","","","","WorldCat Discovery Service","","Section: xiv, 505 pages ; 25 cm","","","http://bvbr.bib-bvb.de:8991/F?func=service&doc_library=BVB01&doc_number=009258811&line_number=0001&func_code=DB_RECORDS&service_type=MEDIA","Aufsatzsammlung; Feminism.; Feminisme.; Féminisme.; Feminismus; Femmes dans les sciences.; Frau; Frau.; Science.; Sekseverschillen.; Sex Factors.; Wetenschap.; Wissenschaft; Women in science.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NG9L479R","book","2018","Green, Jen","Women in science","","978-1-4654-6860-4 978-1-4654-6859-8 978-0-7804-0038-2 978-1-5182-5354-6","","","http://www.perma-bound.com/ws/image/cover/000152980/m","","2018","2020-09-16 14:06:28","2020-09-22 15:44:12","2020-09-16 14:06:28","","64","","","","","","DK. Level 3, Beginning to read alone","","","","DK Publishing","New York, New York","English","","","","","WorldCat Discovery Service","","Section: 64 pages : illustrations (some color) ; 23 cm.","","","","Biographies.; Chapter-headings.; JUVENILE NONFICTION Biography & Autobiography Science & Technology.; JUVENILE NONFICTION Biography & Autobiography Women.; JUVENILE NONFICTION Reader Intermediate.; Juvenile works.; Readers (Primary); Readers (Publications); Women in science Biography.; Women in science Juvenile literature.; Women in science.","","","","","","","","","","","","","","","","","","","","","First American edition.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SLA4ABZI","book","2009","Neelam Kumar.; Burton, Antoinette M.","Women and science in India: a reader","","978-0-19-569705-6","","","http://catdir.loc.gov/catdir/enhancements/fy0907/2009341053-t.html","","2009","2020-09-16 14:06:28","2020-09-22 15:43:20","2020-09-16 14:06:28","","xxx, 351","","","","","Women and science in India","","","","","Oxford University Press","New Delhi","English","","","","","WorldCat Discovery Service","","Section: xxx, 351 pages ; 23 cm","","","","30.04 teaching, profession, organizations of the exact sciences.; Frau; Frau.; Geschichte; Geschichte.; India.; Indien; Medizin; Naturwissenschaften; Vrouwen.; Wetenschapsbeoefenaars.; Women in science India.; Women in science.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
