&#65279;"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UHZG863Q","book","2006","Cohoon, J. McGrath.; Aspray, William.","Women and information technology: research on underrepresentation","","978-0-262-03345-9","","","http://www.books24x7.com/marc.asp?bookid=12935","","2006","2020-09-16 14:31:22","2020-09-23 15:52:11","2020-09-16 14:31:20","","xviii, 500","","","","","Women and information technology","","","","","MIT Press","Cambridge, Mass.","English","","","","","WorldCat Discovery Service","","Section: xviii, 500 pages : illustrations ; 24 cm","","","","54.00 computer science: general.; 71.31 sexes and their interrelations.; Beruf; Computers and women.; Computers.; Différences entre sexes en éducation.; Education.; Frau.; Informaticiennes.; Informatik; Information technology.; Informationstechnik; Ordinateurs et femmes.; Sex differences in education.; Unterprivilegierung; Women computer scientists.; Women.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAHC4LBA","book","2006","Fox, Mary Frank.; Johnson, Deborah G.; Rosser, Sue Vilhauer.","Women, gender, and technology","","978-0-252-03095-6 978-0-252-07336-6","","","http://catdir.loc.gov/catdir/toc/ecip0614/2006018048.html","","2006","2020-09-16 14:31:22","2020-09-23 15:51:38","2020-09-16 14:31:20","","viii, 204","","","","","","Women, gender, and technology","","","","University of Illinois Press","Urbana","English","","","","","WorldCat Discovery Service","","Section: viii, 204 pages : illustrations ; 23 cm.","","","","Computers and women United States.; Computers and women.; Femmes, Effets des innovations sur les États-Unis.; Frau; Frau.; Informatietechnologie.; Information technology Social aspects United States.; Information technology Social aspects.; Ordinateurs et femmes États-Unis.; Sekseverschillen.; Technologie; Technologie de l'information Aspect social États-Unis.; Technologie.; United States.; USA; USA.; Verenigde Staten.; Vrouwen.; Women Effect of technological innovations on United States.; Women Effect of technological innovations on.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7PJ972VH","book","2000","Vincentelli, Moira.","Women and ceramics: gendered vessels","","978-0-7190-3839-6 978-0-7190-3840-2","","","","","2000","2020-09-16 14:31:22","2020-09-23 15:49:14","","","xii, 290","","","","","Women and ceramics","Studies in design and material culture","","","","Manchester University Press ;","Manchester ;","English","","","","","WorldCat Discovery Service","","Section: xii, 290 pages : illustrations ; 25 cm","","","","Céramique Histoire.; Femmes céramistes.; Frau; Frau.; History.; Keramiek.; Keramik; Künstlerin; Pottery History.; Pottery.; Töpferei; Vrouwen.; Women potters.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3UG3UJA6","book","2002","Ratcliff, Kathryn Strother","Women and health: power, technology, inequality, and conflict in a gendered world","","978-0-205-30597-1","","","","","2002","2020-09-16 14:31:22","2020-09-23 15:49:33","","","xii, 356","","","","","Women and health","","","","","Allyn and Bacon","Boston, MA","English","","","","","WorldCat Discovery Service","","Section: xii, 356 pages ; 24 cm","","","","Gezondheid.; Health Sex differences.; Maatschappelijke aspecten.; Medical care Sex differences.; Sociology, Medical.; Vrouwen.; Women Health and hygiene Sociological aspects.; Women's Health.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z8Y27UI7","book","2013","Goldman, Marlene B.; Troisi, Rebecca.; Rexrode, Kathryn M.","Women and health","","978-0-12-384978-6","","","http://0-www.sciencedirect.com.emu.londonmet.ac.uk/science/book/9780123849786","","2013","2020-09-16 14:31:22","2020-09-23 15:51:09","2020-09-16 14:31:21","","xxxi, 1581","","","","","","","","","","Elsevier/Academic Press","Amsterdam","English","","","","","WorldCat Discovery Service","","Section: xxxi, 1581 pages : illustrations","","","","Frau.; Gesundheit; Gynäkologie; Women Diseases.; Women Health and hygiene.; Women's Health.","","","","","","","","","","","","","","","","","","","","","2nd ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
"683BA47I","book","2007","Burke, Ronald J.; Mattis, Mary C.","Women and minorities in science, technology, engineering, and mathematics: upping the numbers","","978-1-84542-888-4 978-1-84720-687-9","","","http://catdir.loc.gov/catdir/toc/ecip0716/2007016049.html","","2007","2020-09-16 14:31:22","2020-09-23 15:52:35","2020-09-16 14:31:21","","xvii, 379","","","","","Women and minorities in science, technology, engineering, and mathematics","","","","","Edward Elgar","Cheltenham, UK ;","English","","","","","WorldCat Discovery Service","","Section: xvii, 379 pages : illustrations ; 24 cm","","","","Arbeitswelt; Berufsausbildung; Employment.; Engineering.; Frau; Frau.; Gleichberechtigung; Mathematics.; Mathematik; Minderheit; Minorities in engineering.; Minorities in mathematics.; Minorities in science.; Minorities in technology.; Minority Groups.; Naturwissenschaften; Science.; Technik; Technology.; Women in engineering.; Women in mathematics.; Women in science.; Women in technology.; Women.; Workforce.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J7YZR8IT","book","2003","Leonard, Eileen B.","Women, technology, and the myth of progress","","978-0-13-098595-8","","","","","2003","2020-09-16 14:31:22","2020-09-23 15:50:39","","","x, 246","","","","","","","","","","Prentice Hall","Upper Saddle River, N.J.","English","","","","","WorldCat Discovery Service","","Section: x, 246 pages : illustrations ; 23 cm","","","","Progress.; Sex role.; Sociale ongelijkheid.; Technische ontwikkeling.; Technology and civilization.; Technology Social aspects.; Vrouwen.; Women Social conditions.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5SKZ57E6","book","2003","Malloy, Judy","Women, art, and technology","","978-0-262-13424-8","","","http://catdir.loc.gov/catdir/toc/fy043/2002045178.html","","2003","2020-09-16 14:31:22","2020-09-23 15:50:20","2020-09-16 14:31:22","","xxix, 541","","","","","","Leonardo","","","","MIT Press","Cambridge, Mass.","English","","","","","WorldCat Discovery Service","","Section: xxix, 541 pages : illustrations ; 24 cm","","","","1900-1999; Art and technology History 20th century.; Art and technology.; Art et technologie Histoire 20e siècle.; Art et technologie.; Artes (filosofia) Século 20.; Ciência.; Femme.; Femmes et technologie Histoire 20e siècle.; History.; Kunst; Kunst.; Künstlerin; Künstlerin.; Medienkunst; Medienkunst.; Mulheres.; Neue Medien; Neue Medien.; Neue Technologie; Technische ontwikkeling.; Technology and women History 20th century.; Technology and women.; Tecnologia.; Vrouwen.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U5VB3BAT","book","2000","Brenner, Johanna.","Women and the politics of class","","978-1-58367-009-5 978-1-58367-010-1","","","","","2000","2020-09-16 14:31:22","2020-09-23 15:52:55","","","vi, 330","","","","","","","","","","Monthly Review Press","New York","English","","","","","WorldCat Discovery Service","","Section: vi, 330 pages ; 24 cm","","","http://bvbr.bib-bvb.de:8991/F?func=service&doc_library=BVB01&local_base=BVB01&doc_number=009352569&line_number=0001&func_code=DB_RECORDS&service_type=MEDIA","Feminism Political aspects United States.; Feminism Political aspects.; Féminisme Aspect politique États-Unis.; Feminisme.; Féminisme.; Femmes dans le mouvement ouvrier États-Unis.; Femmes de la classe ouvrière États-Unis.; Femmes États-Unis Histoire 20e siècle.; Frauenliteratur; Kanada; Kanada.; Politiek.; Rôle selon le sexe.; Sociale klassen.; Sozialpolitik; United States.; Vrouwen.; Working class women United States.; Working class women.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J8BK8EQA","book","2006","McClellan, James E. III; Dorn, Harold","Science and technology in world history: an introduction","","978-0-8018-8359-0 978-0-8018-8360-6","","","http://catdir.loc.gov/catdir/toc/ecip0519/2005027399.html","","2006","2020-09-16 14:31:22","2020-09-23 15:50:01","2020-09-16 14:31:22","","ix, 478","","","","","Science and technology in world history","","","","","Johns Hopkins University Press","Baltimore","English","","","","","WorldCat Discovery Service","","Section: ix, 478 pages : illustrations ; 24 cm","","","","History.; Naturwissenschaften; Naturwissenschaften.; Natuurwetenschappen.; Outilleurs Histoire.; Science history.; Science History.; Science.; Sciences Histoire.; Techniek.; Technik; Technik.; Technique Histoire.; Technologie; Technologie Histoire.; Technologie.; Technology history.; Technology History.; Technology.; Tool and die makers History.; Tool and die makers.; Wissenschaft; Wissenschaft.","","","","","","","","","","","","","","","","","","","","","2nd ed.","","","","","","","","","","","","","","","","","","","","","","","","","",""
